id_student,total_clicks,active_days,total_events,activity_variance,features,prediction
25150,2103,122,507,23.125619322933428,"[2103.0,122.0,23.125619322933428]",1
26247,478,18,148,22.729152625757244,"[478.0,18.0,22.729152625757244]",0
27683,2129,50,400,71.05332576340685,"[2129.0,50.0,71.05332576340685]",1
27780,553,41,159,15.417720245255962,"[553.0,41.0,15.417720245255962]",0
28952,105,12,45,12.606816338069583,"[105.0,12.0,12.606816338069583]",0
31014,531,47,176,13.228616697239328,"[531.0,47.0,13.228616697239328]",0
31161,2932,185,759,20.451926953192142,"[2932.0,185.0,20.451926953192142]",1
33796,351,45,181,9.609654236519363,"[351.0,45.0,9.609654236519363]",0
35355,3358,150,839,24.3910498126253,"[3358.0,150.0,24.3910498126253]",1
35796,602,31,194,26.237091039910638,"[602.0,31.0,26.237091039910638]",0
36347,2161,106,487,57.479863265688344,"[2161.0,106.0,57.479863265688344]",1
39208,2067,160,700,15.434573571069421,"[2067.0,160.0,15.434573571069421]",1
39427,93,14,55,7.550926003907303,"[93.0,14.0,7.550926003907303]",0
42552,5079,138,1164,47.57795887529695,"[5079.0,138.0,47.57795887529695]",1
50610,13,4,11,2.8722813232690143,"[13.0,4.0,2.8722813232690143]",0
52130,1894,122,593,15.853259494738166,"[1894.0,122.0,15.853259494738166]",0
52275,91,5,27,12.37739875741264,"[91.0,5.0,12.37739875741264]",0
52797,1117,61,340,16.96421820932376,"[1117.0,61.0,16.96421820932376]",0
53300,1957,124,669,36.59191800319264,"[1957.0,124.0,36.59191800319264]",0
55013,604,35,202,20.468545247227883,"[604.0,35.0,20.468545247227883]",0
59272,1425,76,379,28.277258235786107,"[1425.0,76.0,28.277258235786107]",0
67685,2314,171,800,17.200987163774197,"[2314.0,171.0,17.200987163774197]",1
69439,293,13,106,31.965125226866082,"[293.0,13.0,31.965125226866082]",0
70495,7252,193,1723,40.93892558724938,"[7252.0,193.0,40.93892558724938]",2
70569,947,56,250,19.59895802955238,"[947.0,56.0,19.59895802955238]",0
71433,60,8,40,4.44007721940573,"[60.0,8.0,4.44007721940573]",0
72349,134,10,54,14.908610487455451,"[134.0,10.0,14.908610487455451]",0
72693,2269,92,437,53.54843287308158,"[2269.0,92.0,53.54843287308158]",1
73584,243,12,86,27.68696772523459,"[243.0,12.0,27.68696772523459]",0
77241,224,24,97,8.19685340829647,"[224.0,24.0,8.19685340829647]",0
77744,2273,84,594,32.28650028998699,"[2273.0,84.0,32.28650028998699]",1
78170,2669,109,865,23.61285536520586,"[2669.0,109.0,23.61285536520586]",1
78645,426,40,202,7.677973824602559,"[426.0,40.0,7.677973824602559]",0
82341,508,29,142,25.71911558362653,"[508.0,29.0,25.71911558362653]",0
82575,658,43,231,22.382534521491493,"[658.0,43.0,22.382534521491493]",0
84576,2126,114,702,31.342239432992827,"[2126.0,114.0,31.342239432992827]",1
84604,7698,156,1645,49.314743440431016,"[7698.0,156.0,49.314743440431016]",2
84812,474,48,181,10.434445820189403,"[474.0,48.0,10.434445820189403]",0
85241,204,16,93,11.34019400186787,"[204.0,16.0,11.34019400186787]",0
90243,1084,57,321,17.78893238191153,"[1084.0,57.0,17.78893238191153]",0
92341,957,54,270,20.641062451324952,"[957.0,54.0,20.641062451324952]",0
92947,1350,129,494,15.107968981441086,"[1350.0,129.0,15.107968981441086]",0
94961,1240,93,417,16.457675184052214,"[1240.0,93.0,16.457675184052214]",0
95755,381,43,127,11.579089106679367,"[381.0,43.0,11.579089106679367]",0
96873,402,22,127,30.367874344573284,"[402.0,22.0,30.367874344573284]",0
96945,9,2,4,3.5355339059327378,"[9.0,2.0,3.5355339059327378]",0
97567,471,30,144,16.70257052279575,"[471.0,30.0,16.70257052279575]",0
98094,2839,91,386,34.89674285349081,"[2839.0,91.0,34.89674285349081]",1
99670,2109,70,467,51.252407911923385,"[2109.0,70.0,51.252407911923385]",1
99799,553,52,246,11.096773680835355,"[553.0,52.0,11.096773680835355]",0
100788,4395,184,1260,25.133588792262085,"[4395.0,184.0,25.133588792262085]",1
101217,717,51,395,13.41404005466792,"[717.0,51.0,13.41404005466792]",0
101781,4104,144,913,28.83277078826576,"[4104.0,144.0,28.83277078826576]",1
102221,1025,57,345,15.762173558498223,"[1025.0,57.0,15.762173558498223]",0
105527,993,86,385,8.259977178068723,"[993.0,86.0,8.259977178068723]",0
107339,4604,185,1264,29.718481313988285,"[4604.0,185.0,29.718481313988285]",1
110524,876,84,433,9.160267416370267,"[876.0,84.0,9.160267416370267]",0
116174,257,10,100,30.11478042423687,"[257.0,10.0,30.11478042423687]",0
116319,276,6,79,82.8033815734599,"[276.0,6.0,82.8033815734599]",0
121182,92,8,51,11.92835756865606,"[92.0,8.0,11.92835756865606]",0
122392,809,66,320,13.950804339712521,"[809.0,66.0,13.950804339712521]",0
122928,184,8,51,23.07750915006705,"[184.0,8.0,23.07750915006705]",0
124124,21,5,12,3.271085446759225,"[21.0,5.0,3.271085446759225]",0
124304,1995,96,478,22.76525659628586,"[1995.0,96.0,22.76525659628586]",1
124711,265,21,122,21.20489611027649,"[265.0,21.0,21.20489611027649]",0
124728,1988,85,787,24.247775606202303,"[1988.0,85.0,24.247775606202303]",1
128142,1706,55,437,33.233456429667775,"[1706.0,55.0,33.233456429667775]",0
128889,9524,244,1710,31.770507955341277,"[9524.0,244.0,31.770507955341277]",2
130003,238,23,106,16.609440622325643,"[238.0,23.0,16.609440622325643]",0
130013,252,25,124,8.7840765023991,"[252.0,25.0,8.7840765023991]",0
130467,1224,101,443,15.180439472368954,"[1224.0,101.0,15.180439472368954]",0
130671,1199,98,431,13.304367952155934,"[1199.0,98.0,13.304367952155934]",0
131538,2307,98,498,23.664828122096946,"[2307.0,98.0,23.664828122096946]",1
134143,2732,138,569,30.27348805685131,"[2732.0,138.0,30.27348805685131]",1
134212,2096,100,477,26.87077944308255,"[2096.0,100.0,26.87077944308255]",1
134578,185,4,52,34.56756668709365,"[185.0,4.0,34.56756668709365]",0
137281,1040,38,211,41.89137887998641,"[1040.0,38.0,41.89137887998641]",0
138407,942,45,273,31.93416523241071,"[942.0,45.0,31.93416523241071]",0
138920,437,30,157,19.108913488543603,"[437.0,30.0,19.108913488543603]",0
139033,790,60,287,13.51855807508251,"[790.0,60.0,13.51855807508251]",0
141506,415,26,135,13.779639383469421,"[415.0,26.0,13.779639383469421]",0
142339,5463,187,1401,26.62235335427199,"[5463.0,187.0,26.62235335427199]",1
143350,2637,104,692,31.040192631906137,"[2637.0,104.0,31.040192631906137]",1
148993,3812,198,1272,17.28403707914231,"[3812.0,198.0,17.28403707914231]",1
149178,2824,113,723,31.85415861368957,"[2824.0,113.0,31.85415861368957]",1
152524,9671,278,2257,32.572855214322786,"[9671.0,278.0,32.572855214322786]",2
154125,97,7,43,5.080307452263476,"[97.0,7.0,5.080307452263476]",0
155484,2092,140,610,17.7134552071336,"[2092.0,140.0,17.7134552071336]",1
155984,2645,134,806,25.34719189396407,"[2645.0,134.0,25.34719189396407]",1
161878,36,5,21,3.5637059362410923,"[36.0,5.0,3.5637059362410923]",0
162984,93,11,48,6.393178182463498,"[93.0,11.0,6.393178182463498]",0
163962,19,4,10,5.188127472091126,"[19.0,4.0,5.188127472091126]",0
164935,673,69,364,13.171276454625051,"[673.0,69.0,13.171276454625051]",0
165904,963,98,457,10.969522455002581,"[963.0,98.0,10.969522455002581]",0
166160,3160,84,446,57.20685458168659,"[3160.0,84.0,57.20685458168659]",1
166421,3328,90,659,45.782332537064256,"[3328.0,90.0,45.782332537064256]",1
169555,277,32,124,8.283716537727457,"[277.0,32.0,8.283716537727457]",0
171549,1053,51,309,25.277518493247527,"[1053.0,51.0,25.277518493247527]",0
173004,1583,123,753,13.484027800736726,"[1583.0,123.0,13.484027800736726]",0
174440,196,17,75,10.59550404097667,"[196.0,17.0,10.59550404097667]",0
177333,1049,115,551,7.879740651719932,"[1049.0,115.0,7.879740651719932]",0
177568,1020,23,235,41.804315453238004,"[1020.0,23.0,41.804315453238004]",0
177817,388,44,177,14.188552095644733,"[388.0,44.0,14.188552095644733]",0
178020,1026,69,537,18.406291318522094,"[1026.0,69.0,18.406291318522094]",0
180753,2012,157,858,11.550236791917785,"[2012.0,157.0,11.550236791917785]",1
180976,4525,145,1174,46.53939438674571,"[4525.0,145.0,46.53939438674571]",1
181861,1812,75,456,20.994877110020553,"[1812.0,75.0,20.994877110020553]",0
183287,162,10,41,11.85842410365822,"[162.0,10.0,11.85842410365822]",0
185127,856,75,404,16.63364656947472,"[856.0,75.0,16.63364656947472]",0
185349,4702,177,919,22.6235877038941,"[4702.0,177.0,22.6235877038941]",1
185350,236,30,91,13.695540007314571,"[236.0,30.0,13.695540007314571]",0
186670,232,25,95,8.531900921443787,"[232.0,25.0,8.531900921443787]",0
187100,8562,231,1922,32.242156172776006,"[8562.0,231.0,32.242156172776006]",2
187793,2817,150,654,15.436325152969145,"[2817.0,150.0,15.436325152969145]",1
189178,3538,145,851,25.886611726270143,"[3538.0,145.0,25.886611726270143]",1
189624,4949,199,1436,35.605626258897054,"[4949.0,199.0,35.605626258897054]",1
191398,13,1,6,0.0,"[13.0,1.0,0.0]",0
191445,944,80,459,11.537939618186229,"[944.0,80.0,11.537939618186229]",0
191590,2501,70,444,49.54193697937876,"[2501.0,70.0,49.54193697937876]",1
193310,1236,107,450,18.012696593854585,"[1236.0,107.0,18.012696593854585]",0
194163,4332,183,1083,26.670180066394654,"[4332.0,183.0,26.670180066394654]",1
195234,900,35,177,31.50590180806599,"[900.0,35.0,31.50590180806599]",0
197240,330,38,139,11.02112287200747,"[330.0,38.0,11.02112287200747]",0
198956,3262,114,844,21.75588976176777,"[3262.0,114.0,21.75588976176777]",1
199663,403,38,137,11.384055881242617,"[403.0,38.0,11.384055881242617]",0
199760,1256,33,277,59.2910930251856,"[1256.0,33.0,59.2910930251856]",0
203963,515,36,152,21.7936025271434,"[515.0,36.0,21.7936025271434]",0
205719,333,32,117,16.001732517086612,"[333.0,32.0,16.001732517086612]",0
227167,7,1,6,0.0,"[7.0,1.0,0.0]",0
228729,8202,164,1534,43.98340286593587,"[8202.0,164.0,43.98340286593587]",2
228775,938,75,383,12.169271595751784,"[938.0,75.0,12.169271595751784]",0
232480,102,12,37,11.720223392224074,"[102.0,12.0,11.720223392224074]",0
232827,1241,81,431,16.929136983684245,"[1241.0,81.0,16.929136983684245]",0
238144,733,26,213,33.315484965126025,"[733.0,26.0,33.315484965126025]",0
239540,3119,87,622,51.44573314637658,"[3119.0,87.0,51.44573314637658]",1
240024,2703,68,565,91.1556606997719,"[2703.0,68.0,91.1556606997719]",1
240236,1066,98,421,8.972196809597612,"[1066.0,98.0,8.972196809597612]",0
240993,1246,136,587,8.68307897962749,"[1246.0,136.0,8.68307897962749]",0
242149,372,38,141,9.957091442071587,"[372.0,38.0,9.957091442071587]",0
242491,3232,130,739,38.34558358612534,"[3232.0,130.0,38.34558358612534]",1
244961,2669,98,707,54.51941884639475,"[2669.0,98.0,54.51941884639475]",1
245316,981,44,215,24.182041717957745,"[981.0,44.0,24.182041717957745]",0
247292,2338,148,602,15.21141688108181,"[2338.0,148.0,15.21141688108181]",1
247653,49,10,25,5.646040894093646,"[49.0,10.0,5.646040894093646]",0
247902,535,55,236,11.975986073148315,"[535.0,55.0,11.975986073148315]",0
248103,744,49,225,16.595272255208403,"[744.0,49.0,16.595272255208403]",0
249423,1312,107,594,13.71773156930518,"[1312.0,107.0,13.71773156930518]",0
249704,327,39,138,10.240824865562614,"[327.0,39.0,10.240824865562614]",0
250644,370,41,181,8.793428810418746,"[370.0,41.0,8.793428810418746]",0
251916,46,3,20,10.969655114602888,"[46.0,3.0,10.969655114602888]",0
252863,293,16,72,22.49064620384809,"[293.0,16.0,22.49064620384809]",0
253633,3203,92,623,40.60691473293737,"[3203.0,92.0,40.60691473293737]",1
255344,4329,143,1224,44.93644679945565,"[4329.0,143.0,44.93644679945565]",1
256998,303,25,140,10.948059188732952,"[303.0,25.0,10.948059188732952]",0
258310,667,78,313,9.5491176391145,"[667.0,78.0,9.5491176391145]",0
259060,417,36,203,8.970984975384333,"[417.0,36.0,8.970984975384333]",0
259641,3443,160,1235,24.442197730036753,"[3443.0,160.0,24.442197730036753]",1
259951,283,29,149,9.818550854718811,"[283.0,29.0,9.818550854718811]",0
260955,456,47,226,8.051235102703243,"[456.0,47.0,8.051235102703243]",0
263697,497,18,127,41.42624756031017,"[497.0,18.0,41.42624756031017]",0
264106,155,16,69,5.758689086936366,"[155.0,16.0,5.758689086936366]",0
264152,3454,171,831,24.385535703879615,"[3454.0,171.0,24.385535703879615]",1
264744,334,36,136,11.850524065834415,"[334.0,36.0,11.850524065834415]",0
265268,4539,148,1045,39.82246118900543,"[4539.0,148.0,39.82246118900543]",1
265769,1264,52,268,25.267617392381556,"[1264.0,52.0,25.267617392381556]",0
265855,8400,184,1601,65.64300449373204,"[8400.0,184.0,65.64300449373204]",2
267602,6329,189,1460,32.834304917591396,"[6329.0,189.0,32.834304917591396]",2
269856,1067,108,591,9.083946600616505,"[1067.0,108.0,9.083946600616505]",0
275232,1451,81,519,18.613971587804816,"[1451.0,81.0,18.613971587804816]",0
275297,2453,159,1058,30.526904323703835,"[2453.0,159.0,30.526904323703835]",1
276314,2013,87,439,39.72204953077599,"[2013.0,87.0,39.72204953077599]",1
279755,2173,81,529,36.811272092749256,"[2173.0,81.0,36.811272092749256]",1
279839,295,16,78,17.727450465309445,"[295.0,16.0,17.727450465309445]",0
279883,469,23,195,18.463081419255868,"[469.0,23.0,18.463081419255868]",0
280541,35,7,11,5.972157622389639,"[35.0,7.0,5.972157622389639]",0
282785,74,6,27,18.55442444988975,"[74.0,6.0,18.55442444988975]",0
282962,3,2,3,0.7071067811865476,"[3.0,2.0,0.7071067811865476]",0
283131,386,34,175,14.197486659651432,"[386.0,34.0,14.197486659651432]",0
283564,534,58,223,11.067192897057938,"[534.0,58.0,11.067192897057938]",0
284095,2825,167,913,20.60775768469234,"[2825.0,167.0,20.60775768469234]",1
284742,46,2,18,7.0710678118654755,"[46.0,2.0,7.0710678118654755]",0
285193,658,40,203,22.77982688302334,"[658.0,40.0,22.77982688302334]",0
285315,1157,57,344,24.2773887395252,"[1157.0,57.0,24.2773887395252]",0
285475,2542,185,898,19.696549293062837,"[2542.0,185.0,19.696549293062837]",1
285633,287,20,129,14.586493391959708,"[287.0,20.0,14.586493391959708]",0
286442,50,3,20,22.143471573656495,"[50.0,3.0,22.143471573656495]",0
286658,3148,74,597,55.652835147706405,"[3148.0,74.0,55.652835147706405]",1
286690,237,18,91,14.753862903939268,"[237.0,18.0,14.753862903939268]",0
288655,64,3,24,24.00694344004112,"[64.0,3.0,24.00694344004112]",0
288769,2,1,2,0.0,"[2.0,1.0,0.0]",0
289009,894,94,378,15.07168867739096,"[894.0,94.0,15.07168867739096]",0
289221,6427,202,1378,29.210355859083855,"[6427.0,202.0,29.210355859083855]",2
289564,934,53,317,19.00832450745072,"[934.0,53.0,19.00832450745072]",0
291156,304,25,132,24.311657011949364,"[304.0,25.0,24.311657011949364]",0
291937,147,10,52,16.726891190202945,"[147.0,10.0,16.726891190202945]",0
294920,2861,54,690,40.228822269114815,"[2861.0,54.0,40.228822269114815]",1
296138,552,72,289,4.687411971004415,"[552.0,72.0,4.687411971004415]",0
296332,2152,124,511,17.05142558872777,"[2152.0,124.0,17.05142558872777]",1
296904,2623,46,451,99.05946342821564,"[2623.0,46.0,99.05946342821564]",1
297341,2844,81,738,57.83273294597101,"[2844.0,81.0,57.83273294597101]",1
297685,1078,47,273,27.393591963560564,"[1078.0,47.0,27.393591963560564]",0
297853,2477,118,488,23.754620157977172,"[2477.0,118.0,23.754620157977172]",1
298034,1681,97,376,27.56081217412859,"[1681.0,97.0,27.56081217412859]",0
298040,17503,247,4978,60.182760943553,"[17503.0,247.0,60.182760943553]",2
298186,516,38,150,15.97740224960878,"[516.0,38.0,15.97740224960878]",0
299473,1129,124,503,10.50653575017517,"[1129.0,124.0,10.50653575017517]",0
301232,3094,90,643,58.69643439542626,"[3094.0,90.0,58.69643439542626]",1
301967,193,32,116,6.794135872799756,"[193.0,32.0,6.794135872799756]",0
302566,1165,36,358,43.10992777790138,"[1165.0,36.0,43.10992777790138]",0
305152,146,11,44,18.868444075179642,"[146.0,11.0,18.868444075179642]",0
305386,1277,85,368,16.840976438287598,"[1277.0,85.0,16.840976438287598]",0
305539,68,6,26,7.31209044437134,"[68.0,6.0,7.31209044437134]",0
